62,5,15,2,14,1,"0","0",""
62,32,15,1,37,"0","0","0",""
62,64,15,2,68,"0","0","0",""
62,65,15,1,69,"0","0","0",""
62,76,15,1,77,"0","0","0",""
62,79,15,1,80,"0","0","0",""
62,82,15,2,85,"0","0","0",""
62,87,15,2,90,1,"0","0",""
62,97,15,1,97,1,"0","0",""
62,100,15,3,107,"0","0","0",""
62,109,15,2,113,"0","0","0",""
62,127,15,8,161,"0","0","0",""
62,152,15,2,162,"0","0","0",""
62,183,15,1,184,"0","0","0",""
62,196,15,3,200,1,"0","0",""
62,205,15,2,208,"0","0","0",""
62,212,15,2,215,1,"0","0",""
62,214,15,2,219,"0","0","0",""
62,220,15,4,230,"0","0","0",""
62,231,15,1,231,1,"0","0",""
62,233,15,5,297,"0","0",1,""
11730,1083,64,1,1472,"0","0",1,""
62,260,13,2,263,"0","0","0",""
62,279,15,1,283,"0","0",1,""
62,284,15,1,285,"0","0",1,""
62,348,15,1,352,"0","0",1,""
62,413,15,1,419,"0","0",1,""
62,634,25,3,640,"0","0",1,""
62,645,9,2,648,"0","0",1,""
62,664,25,1,665,"0","0",1,""
67,5,15,2,17,"0","0","0",""
67,32,15,4,38,1,"0","0",""
67,64,15,2,67,1,"0","0",""
67,65,15,1,65,1,"0","0",""
67,76,15,2,78,1,"0","0",""
67,79,15,2,81,1,"0","0",""
67,82,15,3,86,1,"0","0",""
67,87,15,1,88,"0","0","0",""
67,100,15,4,108,1,"0","0",""
67,109,15,3,112,1,"0","0",""
67,127,15,10,159,1,"0","0",""
67,152,15,2,158,1,"0","0",""
67,183,15,2,185,1,"0","0",""
67,196,15,3,201,"0","0","0",""
67,205,15,2,207,1,"0","0",""
67,212,15,2,218,"0","0","0",""
67,214,15,2,217,1,"0","0",""
67,220,15,5,229,1,"0","0",""
67,231,15,1,232,"0","0","0",""
67,233,15,4,298,1,"0",1,""
67,284,15,1,284,1,"0",1,""
67,348,15,1,349,"0","0",1,""
67,413,15,1,413,1,"0","0",""
72,32,15,2,35,"0","0","0",""
97,260,13,2,262,1,"0","0",""
118,279,15,1,279,1,"0",1,""
118,305,15,1,305,1,"0",1,""
118,307,15,2,308,1,"0",1,""
118,331,4,1,331,1,"0",1,""
118,332,4,1,332,1,"0",1,""
118,339,4,3,341,1,"0",1,""
118,342,4,1,342,1,"0",1,""
118,343,4,3,345,1,"0",1,""
118,347,4,1,347,1,"0",1,""
118,348,15,2,350,1,"0",1,""
118,361,4,2,362,1,"0",1,""
118,367,15,1,367,1,"0",1,""
118,408,15,1,408,1,"0",1,""
118,409,15,1,409,1,"0",1,""
118,630,15,1,630,1,"0",1,""
9639,707,36,3,746,1,"0",1,""
62,707,36,4,1508,"0","0",1,""
9610,708,13,1,748,1,"0",1,""
296,354,13,1,354,1,"0","0",""
329,645,9,2,647,1,"0",1,""
926,634,25,3,639,1,"0",1,""
956,662,15,1,662,1,"0",1,""
957,662,15,1,663,"0","0",1,""
958,664,25,1,664,1,"0",1,""
62,354,13,"0","0","0","0",1,""
307,354,13,"0","0","0","0",1,""
473,413,15,"0","0","0","0",1,""
495,413,15,"0","0","0","0",1,""
496,413,15,"0","0","0","0",1,""
227,664,25,"0","0","0",1,1,""
118,675,15,1,691,1,"0",1,""
118,645,9,1,692,"0","0",1,""
118,676,13,1,693,1,"0",1,""
9560,678,13,1,695,1,"0","0",""
118,678,13,1,709,"0","0",1,""
118,693,15,1,711,1,"0",1,""
118,697,15,1,722,1,"0",1,""
9574,699,9,3,734,1,"0",1,""
506,699,9,1,730,"0","0",1,""
62,699,9,1,733,"0","0",1,""
118,709,35,1,749,1,"0",1,""
9651,710,13,2,752,1,"0",1,""
118,710,13,1,751,"0","0",1,""
9667,711,15,1,753,1,"0",1,""
118,712,9,1,754,1,"0",1,""
