10000,I.V.A.,percentage,"22.00000","","0.00000","",1,1001,2,"0",1,"0",1,1,1,2,"0000-00-00","0000-00-00",1,"","","0",""
10001,Spese di spedizione estero,fixed,"0.00000",EUR,"20.00000","",1,1002,"0","0","0",1,"0","0",1,3,"0000-00-00","0000-00-00",1,"","","0",""
10002,I.V.A.,percentage,"4.00000","","0.00000","",1,1004,"0",2,1,"0",1,1,1,4,"0000-00-00","0000-00-00",1,"","","0",""
10003,Spedizioni digitali,fixed,"0.00000","","0.00000","",1,1005,"0","0",1,1,1,1,1,1,"0000-00-00","0000-00-00",1,"","","0",""
