1,1,weekly,"0.5","0"
1,5,weekly,"0.5",3
1,6,weekly,"0.5",4
1,7,weekly,"0.5",5
1,8,weekly,"0.5",6
1,9,weekly,"0.5",7
1,15,weekly,"0.5",11
1,17,weekly,"0.5",13
1,18,weekly,"0.5",14
1,19,weekly,"0.5",15
1,21,weekly,"0.5",17
1,23,weekly,"0.5",19
2,1,weekly,"0.5",1
2,5,weekly,"0.5",7
2,6,weekly,"0.5",8
2,7,weekly,"0.5",28
2,8,weekly,"0.5",10
2,9,weekly,"0.5",11
2,15,weekly,"0.5",2
2,19,weekly,"0.5",12
2,20,weekly,"0.5",3
2,21,weekly,"0.5","0"
2,22,weekly,"0.5",4
2,23,weekly,"0.5",9
2,24,weekly,"0.5",5
2,25,weekly,"0.5",6
2,26,weekly,"0.5",13
2,27,weekly,"0.5",14
2,28,weekly,"0.5",15
2,29,weekly,"0.5",16
2,30,weekly,"0.5",17
2,31,weekly,"0.5",18
2,32,weekly,"0.5",19
2,33,weekly,"0.5",20
2,36,weekly,"0.5",21
2,37,daily,"0.1",29
2,38,weekly,"0.5",22
2,39,weekly,"0.5",23
2,40,weekly,"0.5",24
2,41,weekly,"0.5",25
2,42,weekly,"0.5",26
2,43,weekly,"0.5",27
2,47,weekly,"0.5",30
2,48,weekly,"0.5",31
2,49,weekly,"0.5",32
2,50,weekly,"0.5",33
2,51,weekly,"0.5",34
2,52,weekly,"0.5",35
2,53,weekly,"0.5",36
