1,apps.install,com_easysocial,Install Applications,Earn points when you install applications for your profile.,install-apps,2013-12-25 04:56:14,,"0",5,1
2,apps.uninstall,com_easysocial,Uninstall Applications,Demote points when you uninstall applications for your profile.,uninstall-apps,2013-12-25 04:56:14,,"0",-5,1
3,badges.achieve,com_easysocial,COM_EASYSOCIAL_POINTS_BADGES_ACHIEVE,COM_EASYSOCIAL_POINTS_BADGES_ACHIEVE_DESC,badges-achieve,2013-12-25 04:56:14,,"0",5,1
4,conversation.create,com_easysocial,COM_EASYSOCIAL_POINTS_START_CONVERSATION,COM_EASYSOCIAL_POINTS_START_CONVERSATION_DESC,conversation-starter,2013-12-25 04:56:14,,"0",5,1
5,conversation.create.group,com_easysocial,COM_EASYSOCIAL_POINTS_START_CONVERSATION_GROUP,COM_EASYSOCIAL_POINTS_START_CONVERSATION_GROUP_DESC,conversation-group-starter,2013-12-25 04:56:14,,"0",10,1
6,conversation.reply,com_easysocial,Reply to a conversation,Earn points when you reply to a conversation.,conversation-reply,2013-12-25 04:56:14,,"0",2,1
7,conversation.invite,com_easysocial,Invite a user to an existing conversation,Earn points when you invite another user into an existing conversation,invite-user-conversation,2013-12-25 04:56:14,,"0",5,1
8,conversation.read,com_easysocial,Read a conversation,Earn points when you read a conversation,conversation.read,2013-12-25 04:56:14,,"0",1,1
9,friends.add,com_easysocial,COM_EASYSOCIAL_POINTS_FRIENDS_ADD,COM_EASYSOCIAL_POINTS_FRIENDS_ADD_DESC,friends-add,2013-12-25 04:56:14,,"0",5,1
10,friends.remove,com_easysocial,COM_EASYSOCIAL_POINTS_FRIENDS_REMOVE,COM_EASYSOCIAL_POINTS_FRIENDS_REMOVE_DESC,friends-remove,2013-12-25 04:56:14,,"0",-5,1
11,friends.approve,com_easysocial,COM_EASYSOCIAL_POINTS_FRIENDS_APPROVE,COM_EASYSOCIAL_POINTS_FRIENDS_APPROVE_DESC,friends-approve,2013-12-25 04:56:14,,"0",2,1
12,friends.list.create,com_easysocial,Create a new friend list,Earn points when you create a new list of friends.,friends-list-create,2013-12-25 04:56:14,,"0",2,1
13,friends.list.delete,com_easysocial,Removes a friend list,Deduct points when a friend list is deleted.,friends-list-delete,2013-12-25 04:56:14,,"0",-2,1
14,friends.list.add,com_easysocial,Assign a friend into a friend list,Earn points when you assign one of your friends into an existing friend list.,friends-list-add,2013-12-25 04:56:14,,"0",1,1
15,photos.upload,com_easysocial,Upload photo,Earn points when you upload photos on the site.,upload-photo,2013-12-25 04:56:14,,"0",5,1
16,photos.remove,com_easysocial,Remove photo,Deduct points when you remove a photo.,remove-photo,2013-12-25 04:56:14,,"0",-5,1
17,photos.albums.create,com_easysocial,Create photo album,Earn points when you create a new photo album.,create-photo-album,2013-12-25 04:56:14,,"0",5,1
18,photos.albums.remove,com_easysocial,Remove photo album,Deduct points when you remove a photo album.,remove-photo-album,2013-12-25 04:56:14,,"0",-5,1
19,photos.tag,com_easysocial,Tag items on a photo,Earn points when you tag someone or an item in a photo.,tag-photo,2013-12-25 04:56:14,,"0",1,1
20,photos.untag,com_easysocial,Remove tagged items on a photo,Deduct points when you remove a tag on a photo.,remove-tag-photo,2013-12-25 04:56:14,,"0",-1,1
21,photos.like,com_easysocial,Like a photo,Earn points when you like a photo.,like-photo,2013-12-25 04:56:14,,"0",1,1
22,photos.unlike,com_easysocial,Unlike a photo,Deduct points when you unlike a photo.,unlike-photo,2013-12-25 04:56:14,,"0",-1,1
23,photos.comment.add,com_easysocial,Comment on a photo,Earn points when you comment on a photo.,comment-photo,2013-12-25 04:56:14,,"0",1,1
24,photos.comment.remove,com_easysocial,Comment removed from a photo,Deduct points when your comment is removed from a photo.,comment-photo-removed,2013-12-25 04:56:14,,"0",-1,1
25,privacy.update,com_easysocial,COM_EASYSOCIAL_POINTS_PRIVACY_UPDATE,COM_EASYSOCIAL_POINTS_PRIVACY_UPDATE_DESC,privacy-update,2013-12-25 04:56:14,,"0",5,1
26,profile.update,com_easysocial,COM_EASYSOCIAL_POINTS_UPDATE_PROFILE,COM_EASYSOCIAL_POINTS_UPDATE_PROFILE_DESC,profile-update,2013-12-25 04:56:14,,"0",15,1
27,profile.avatar.update,com_easysocial,COM_EASYSOCIAL_POINTS_UPDATE_PROFILE_AVATAR,COM_EASYSOCIAL_POINTS_UPDATE_PROFILE_AVATAR_DESC,profile-avatar-update,2013-12-25 04:56:14,,1,5,1
28,profile.follow,com_easysocial,Follow another user on the site,Earn points when you follow other users on the site,profile-follow,2013-12-25 04:56:14,,"0",2,1
29,profile.unfollow,com_easysocial,Unfollow user on the site,Demote points when you unfollow other users on the site,profile-unfollow,2013-12-25 04:56:14,,"0",-2,1
30,profile.followed,com_easysocial,Being followed by another user on the site,Earn points when your profile is being followed by another user on the site.,profile-followed,2013-12-25 04:56:14,,"0",2,1
31,profile.unfollowed,com_easysocial,Unfollowed by users who were following your profile,Deduct points when your existing followers unfollow your profile.,profile-unfollowed,2013-12-25 04:56:14,,"0",-2,1
32,reports.create,com_easysocial,COM_EASYSOCIAL_POINTS_REPORTS_ADD,COM_EASYSOCIAL_POINTS_REPORTS_ADD_DESC,reports-create,2013-12-25 04:56:14,,"0",5,1
33,reports.delete,com_easysocial,Report Removed,Points will be deducted when your report has been deleted.,reports-removed,2013-12-25 04:56:14,,"0",-5,1
34,story.create,com_easysocial,Post a new update,Earn points when you post a new update.,story-create,2013-12-25 04:56:14,,"0",5,1
35,user.registration,com_easysocial,User registers on the site,Earn points when you register on this site.,registration,2013-12-25 04:56:14,,"0",20,1
