1,Blue,theme_blue.png,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,1,
2,Purple,theme_purple.png,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,2,
3,Black,theme_black.png,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,3,
4,Flowers,theme_flowers.jpg,p-2 d-flex justify-content-center align-items-center text-center font-weight-bold text-large,1,1,4,
5,Love,theme_love.jpg,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,5,
6,Celebrate,theme_celebrate.jpg,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,6,
7,Glitter,theme_glitter.jpg,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,7,
8,Space,theme_space.jpg,p-2 d-flex justify-content-center align-items-center text-white text-center font-weight-bold text-large,1,1,8,
