1,Like,,fa fa-lg fa-thumbs-o-up text-primary,1,1,1,
2,Love,,fa fa-lg fa-heart text-danger,1,1,2,
3,Funny,,twemoji twemoji-1f606,1,1,3,
4,Sad,,twemoji twemoji-1f622,1,1,4,
5,Angry,,twemoji twemoji-1f621,1,1,5,
