52,39,144,145,3,com_content.category.27,Park Blog,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
55,39,150,151,3,"com_content.category.30",Growers,"{""core.create"":{""12"":0},""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":{""10"":1}}"
59,41,28,29,3,com_contact.category.34,Park Site,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
60,41,30,87,3,com_contact.category.35,Shop Site,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
61,60,31,32,4,com_contact.category.36,Staff,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
62,60,33,86,4,com_contact.category.37,Fruit Encyclopedia,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
63,62,34,35,5,com_contact.category.38,A,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
64,62,36,37,5,com_contact.category.39,B,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
65,62,38,39,5,"com_contact.category.40",C,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
66,62,40,41,5,com_contact.category.41,D,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
67,62,42,43,5,com_contact.category.42,E,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
68,62,44,45,5,com_contact.category.43,F,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
69,62,46,47,5,com_contact.category.44,G,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
70,62,48,49,5,com_contact.category.45,H,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
71,62,50,51,5,com_contact.category.46,I,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
72,62,52,53,5,com_contact.category.47,J,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
73,62,54,55,5,com_contact.category.48,K,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
74,62,56,57,5,com_contact.category.49,L,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
75,62,58,59,5,"com_contact.category.50",M,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
76,62,60,61,5,com_contact.category.51,N,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
77,62,62,63,5,com_contact.category.52,O,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
78,62,64,65,5,com_contact.category.53,P,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
79,62,66,67,5,com_contact.category.54,Q,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
80,62,68,69,5,com_contact.category.55,R,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
81,62,70,71,5,com_contact.category.56,S,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
82,62,72,73,5,com_contact.category.57,T,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
83,62,74,75,5,com_contact.category.58,U,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
84,62,76,77,5,com_contact.category.59,V,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
85,62,78,79,5,"com_contact.category.60",W,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
86,62,80,81,5,com_contact.category.61,X,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
87,62,82,83,5,com_contact.category.62,Y,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
88,62,84,85,5,com_contact.category.63,Z,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
93,47,117,118,6,com_content.category.64,Content Modules,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
94,47,119,120,6,com_content.category.65,User Modules,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
95,47,121,122,6,com_content.category.66,Display Modules,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
96,47,123,124,6,com_content.category.67,Utility Modules,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
97,48,131,132,6,com_content.category.68,Atomic,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
98,48,133,134,6,com_content.category.69,Beez 20,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
99,48,135,136,6,"com_content.category.70",Beez5,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
100,48,137,138,6,com_content.category.71,Milky Way,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
108,39,146,147,3,com_content.category.72,Animals,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
109,39,148,149,3,com_content.category.73,Scenery,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
166,47,127,128,6,com_content.category.75,Navigation Modules,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
167,39,152,153,3,com_content.category.76,Recipes,"{""core.create"":{""12"":1,""10"":1},""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":{""12"":1,""10"":1}}"
169,8,157,170,2,com_content.category.77,Template Details,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
170,169,158,159,3,com_content.category.78,Design & Features,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
171,169,160,161,3,com_content.category.79,Advanced Stuff,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
172,169,162,163,3,"com_content.category.80",General,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
173,169,164,165,3,com_content.category.81,Layout Variations,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
174,169,166,167,3,com_content.category.82,Testimonials,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
175,169,168,169,3,com_content.category.83,Menu Styles,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
213,3,11,12,2,com_banners.category.84,Promo,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[]}"
215,7,89,90,2,com_contact.category.85,Contacts,"{""core.create"":[],""core.delete"":[],""core.edit"":[],""core.edit.state"":[],""core.edit.own"":[]}"
