1,1,"0","0","0",apps,adsense,user,Adsense,adsense,1,2013-12-25 07:42:47,"0",{},1.0.1,1,1,1
2,1,"0","0","0",apps,albums,user,Albums,albums,1,2013-12-25 07:42:47,"0",{},1.0.1,1,1,1
3,1,1,"0","0",apps,apps,user,Apps,apps,1,2013-12-25 07:42:47,"0",{},1.0.1,"0",1,"0"
4,1,1,"0","0",apps,badges,user,Badges,badges,1,2013-12-25 07:42:47,"0",{},1.0.1,"0",1,"0"
5,"0","0","0","0",apps,birthday,user,Upcoming Birthday,upcoming-birthday,1,2013-12-25 07:42:47,"0",{},1.0.1,1,1,1
6,"0","0","0","0",apps,blog,user,Blog,blog,1,2013-12-25 04:56:12,"0",{},1.0.1,"0",1,1
7,"0","0","0","0",apps,calendar,user,Calendar,calendar,1,2013-12-25 07:42:47,"0","{""changelog"":""https:\/\/easysocialapp.com\/apps\/user\/calendar\/changelog.xml"",""version"":""https:\/\/easysocialapp.com\/apps\/user\/calendar\/version.xml"",""update"":""https:\/\/easysocialapp.com\/apps\/user\/calendar\/patch.php""}",1.0.1,1,1,1
8,"0","0","0","0",apps,comments,user,Comments,comments,1,2013-12-25 04:56:12,"0",{},1.0.1,"0",1,1
9,"0","0","0","0",apps,discuss,user,Discuss,discuss,1,2013-12-25 04:56:12,"0",{},1.0.1,"0",1,1
10,1,1,"0","0",apps,facebook,user,Facebook,facebook,1,2013-12-25 07:42:47,"0",{},1.0.1,"0",1,"0"
11,"0","0","0","0",apps,feeds,user,Feeds,feeds,1,2013-12-25 07:42:47,"0",{},1.0.1,"0",1,1
12,1,"0","0","0",apps,followers,user,Followers,followers,1,2013-12-25 07:42:47,"0",{},1.0.1,1,1,"0"
13,1,"0","0","0",apps,friends,user,Friends,friends,1,2013-12-25 07:42:48,"0",{},1.0.1,1,1,1
14,1,"0","0","0",apps,links,user,Links,links,1,2013-12-25 07:42:48,"0",{},1.0.1,"0",1,"0"
15,1,"0","0","0",apps,locations,user,Locations,locations,1,2013-12-25 07:42:48,"0",{},1.0.1,"0",1,"0"
