502,378,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"49.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
504,379,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"29.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
517,389,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"29.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
521,391,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
523,392,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"49.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
532,394,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"69.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
534,395,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
537,397,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
540,399,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
543,401,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"29.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
544,402,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"69.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
548,405,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"49.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
550,406,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
552,407,"0",1,subtotal,1,,,"",Sub-Totale,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
553,407,446,2,salestax,10001,,,Spedizione,Spese di spedizione estero,"0","0","0","0",EUR,"99.00000","99.00000","20.00000","20.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
554,407,"0",3,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"119.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
561,410,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"49.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
563,411,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"49.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
565,412,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"29.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
567,413,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
573,417,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","15.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
575,418,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
577,419,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"49.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
588,428,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
596,434,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
601,438,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
608,443,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
610,445,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
611,446,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"69.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
612,447,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
613,448,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
615,450,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
620,455,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"29.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
621,456,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"0.00000","69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00",,,
623,457,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
651,475,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"29.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
656,478,"0",2,grandtotal,"0",,,"",Totale,"0","0","0","0",EUR,,,"69.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
666,488,"0",2,grandtotal,"0",,,"",Totale Pagamento,"0","0","0","0",EUR,,,"99.00000",,"0000-00-00 00:00:00","0000-00-00 00:00:00",,,
