32,"0",News Flash: Random,"","",1,newsflashload,"0","0000-00-00 00:00:00",2020-11-25 08:45:26,"0000-00-00 00:00:00",-2,mod_articles_news,1,1,"{""catid"":[""19""],""image"":""0"",""item_title"":""0"",""link_titles"":"""",""item_heading"":""h4"",""showLastSeparator"":""1"",""readmore"":""0"",""count"":""1"",""ordering"":""rand()"",""layout"":""vertical"",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""itemid""}","0",*
33,"0",Random Image,"","",1,randomimageload,"0","0000-00-00 00:00:00",2020-11-25 08:45:26,"0000-00-00 00:00:00",-2,mod_random_image,1,1,"{""type"":""jpg"",""folder"":""images\/sampledata\/parks\/animals"",""link"":"""",""width"":""180"",""height"":"""",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""0""}","0",*
34,"0",Articles Related Items,"","",1,relateditemsload,"0","0000-00-00 00:00:00",2020-11-25 08:45:26,"0000-00-00 00:00:00",-2,mod_related_items,1,1,"{""showDate"":""0"",""layout"":"""",""moduleclass_sfx"":"""",""owncache"":""1""}","0",*
36,"0",Statistics,"","",1,statisticsload,"0","0000-00-00 00:00:00",2020-11-25 08:45:53,"0000-00-00 00:00:00",-2,mod_stats,1,1,"{""serverinfo"":""1"",""siteinfo"":""1"",""counter"":""1"",""increase"":""0"",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
37,"0",Syndication,"","",1,syndicate,"0","0000-00-00 00:00:00",2020-11-25 08:45:53,"0000-00-00 00:00:00",-2,mod_syndicate,1,"0","{""text"":""Feed Entries"",""format"":""rss"",""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":""0""}","0",*
38,732,Users Latest,"","",1,userslatestload,"0","0000-00-00 00:00:00",2020-05-12 07:53:51,"0000-00-00 00:00:00",-2,mod_users_latest,1,1,"{""shownumber"":5,""filter_groups"":0,""layout"":""_:default"",""moduleclass_sfx"":"""",""cache"":0,""cache_time"":900,""cachemode"":""static"",""module_tag"":""div"",""bootstrap_size"":""0"",""header_tag"":""h3"",""header_class"":"""",""style"":""0""}","0",it-IT
40,"0",Wrapper,"","",1,wrapperload,"0","0000-00-00 00:00:00",2020-05-12 07:53:42,"0000-00-00 00:00:00",-2,mod_wrapper,1,1,"{""url"":""http:\/\/fsf.org"",""add"":""1"",""scrolling"":""auto"",""width"":""100%"",""height"":""200"",""height_auto"":""1"",""target"":"""",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
47,"0",Latest Park Blogs,"","",6,position-7,"0","0000-00-00 00:00:00",2020-04-30 14:33:29,"0000-00-00 00:00:00",-2,mod_articles_latest,1,1,"{""count"":""5"",""ordering"":""c_dsc"",""user_id"":""0"",""show_front"":""1"",""catid"":""35"",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900""}","0",en-GB
58,"0",Special!,"","<h1>This week we have a special, half price on delicious oranges!</h1><div>Only for our special customers!</div><div>Use the code: Joomla! when ordering</div><p><em>This module can only be seen by people in the customers group or higher.</em></p>",1,position-12,"0","0000-00-00 00:00:00",2020-05-12 07:42:44,"0000-00-00 00:00:00",-2,mod_custom,4,1,"{""prepare_content"":""1"",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
65,"0",About Fruit Shop,"","<p>The Fruit Shop site shows a number of Joomla! features.</p><p>The template uses classes in cascading style sheets to change the layout of items, such as creating the horizontal alphabetical list in the Fruit Encyclopedia.</p><p>Ã‚Â </p>",1,position-4,"0","0000-00-00 00:00:00",2020-05-12 07:42:44,"0000-00-00 00:00:00",-2,mod_custom,1,1,"{""prepare_content"":""1"",""layout"":"""",""moduleclass_sfx"":"""",""cache"":""1"",""cache_time"":""900"",""cachemode"":""static""}","0",*
