4,1579,it-IT
145,1579,it-IT
4,1586,it-IT
145,1586,it-IT
4,1587,it-IT
145,1587,it-IT
4,1590,it-IT
145,1590,it-IT
6,1691,it-IT
145,1691,it-IT
6,1696,it-IT
145,1696,it-IT
10,1753,it-IT
145,1753,it-IT
12,1856,it-IT
145,1856,it-IT
928,1856,it-IT
394,1856,it-IT
357,1856,it-IT
359,1856,it-IT
366,1856,it-IT
374,1856,it-IT
929,1856,it-IT
18,2050,it-IT
145,2050,it-IT
18,2051,it-IT
146,2051,it-IT
18,2052,it-IT
145,2052,it-IT
32,2186,it-IT
145,2186,it-IT
35,2227,it-IT
145,2227,it-IT
37,2310,it-IT
145,2310,it-IT
38,2427,it-IT
145,2427,it-IT
182,1586,it-IT
188,1691,it-IT
156,1691,it-IT
195,1696,it-IT
188,1696,it-IT
156,1696,it-IT
155,1753,it-IT
163,1856,it-IT
188,2050,it-IT
156,2050,it-IT
188,2051,it-IT
188,2052,it-IT
188,2186,it-IT
156,2186,it-IT
154,2186,it-IT
166,2227,it-IT
149,2310,it-IT
170,2310,it-IT
163,2310,it-IT
195,2427,it-IT
156,5501,it-IT
936,5501,it-IT
935,5501,it-IT
934,5501,it-IT
933,5501,it-IT
932,5501,it-IT
931,5501,it-IT
930,5501,it-IT
15,5501,it-IT
