3,2787,"0.28"
3,2788,"0.95669"
3,2789,1.02669
6,3144,"0.18669"
4,3144,"0.32004"
6,3145,"0.91"
4,3145,1.56
4,3146,1.64004
4,4186,"0.04669"
6,4186,"0.32683"
4,4187,"0.86331"
4,4188,"0.98"
4,4189,"0.23331"
4,4190,"0.88669"
4,4191,1.02669
4,4192,"0.69993"
4,4193,"0.88669"
4,4194,"0.95669"
4,4195,"0.86331"
4,4196,1.05
4,4197,"0.98"
4,4198,1.07331
4,4199,"0.7"
4,4200,1.35331
4,4201,1.4
6,6864,"0"
6,7681,"0.91"
6,7682,"0.95669"
6,7683,"0.84"
6,7684,1.00331
6,7685,"0.86331"
6,7686,1.12
6,7687,"0.84"
6,7688,1.12
6,7689,"0.79331"
6,7690,"0.95669"
6,7691,1.00331
6,7692,1.16669
6,7693,"0.84"
6,7694,1.12
6,7695,"0.42"
6,7696,1.19
6,7697,1.28331
6,7698,"0.32669"
6,7699,"0.91"
6,7700,"0.98"
6,7701,1.02669
6,7702,"0.32669"
6,7703,"0.93331"
6,7704,"0.98"
6,7705,"0.23331"
6,7706,"0.93331"
6,7707,1.07331
6,7708,"0.23331"
6,7709,"0.88669"
6,7710,1.00331
