id,name,value,type,group,published,ordering
18,Luogo,"[{""name"":""Abruzzo"",""value"":""2"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Basilicata"",""value"":""3"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Calabria"",""value"":""4"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Campania"",""value"":""5"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Emilia Romagna"",""value"":""6"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Friuli Venezia Giulia"",""value"":""7"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Lazio"",""value"":""8"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Liguria"",""value"":""9"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Lombardia"",""value"":""10"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Marche"",""value"":""11"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Molise"",""value"":""12"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Piemonte"",""value"":""13"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Puglia"",""value"":""14"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Sardegna"",""value"":""15"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Sicilia"",""value"":""16"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Toscana"",""value"":""17"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Trentino"",""value"":""18"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Alto Adige"",""value"":""19"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Umbria"",""value"":""20"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Valle d'Aosta"",""value"":""21"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Veneto"",""value"":""22"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Albania"",""value"":""23"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Austria"",""value"":""24"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Belgio"",""value"":""25"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Bosnia Herzegovina"",""value"":""26"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Croazia"",""value"":""27"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Francia"",""value"":""28"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Germania"",""value"":""29"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Grecia"",""value"":""30"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Islanda"",""value"":""31"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Macedonia del Nord"",""value"":""32"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Montenegro"",""value"":""33"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Norvegia"",""value"":""34"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Olanda"",""value"":""35"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Portogallo"",""value"":""36"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Serbia"",""value"":""37"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Slovenia"",""value"":""38"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Spagna"",""value"":""39"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Svizzera"",""value"":""40"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Armenia"",""value"":""41"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Cambogia"",""value"":""42"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Georgia"",""value"":""43"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Indonesia"",""value"":""44"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Iran"",""value"":""45"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Kazakistan"",""value"":""46"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Kirghizistan"",""value"":""47"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Laos"",""value"":""48"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Malesia"",""value"":""49"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Mongolia"",""value"":""50"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Tagikistan"",""value"":""51"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Thailandia"",""value"":""52"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Turchia"",""value"":""53"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Turkmenistan"",""value"":""54"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Uzbekistan"",""value"":""55"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Per\u00f9"",""value"":""56"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Bolivia"",""value"":""57"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Cile"",""value"":""58"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Argentina"",""value"":""59"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Nuova Zelanda"",""value"":""60"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Australia"",""value"":""61"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Stati Uniti"",""value"":""62"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Lesotho"",""value"":""63"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Sudafrica"",""value"":""64"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Namibia"",""value"":""65"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Marocco"",""value"":""66"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Repubblica Ceca"",""value"":""67"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Polonia"",""value"":""68"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Lituania"",""value"":""69"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Lettonia"",""value"":""70"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Estonia"",""value"":""71"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Finlandia"",""value"":""72"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Inghilterra"",""value"":""73"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Lussemburgo"",""value"":""74"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Cipro"",""value"":""75"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Malta"",""value"":""76"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Svezia"",""value"":""77"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Danimarca"",""value"":""78"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Slovacchia"",""value"":""79"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Ungheria"",""value"":""80"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Romania"",""value"":""81"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Irlanda"",""value"":""82"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Bulgaria"",""value"":""83"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""India"",""value"":""84"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Russia"",""value"":""85"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Italia"",""value"":""86"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Ucraina"",""value"":""87"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Liechtanstein"",""value"":""88"",""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0},{""name"":""Giordania"",""value"":89,""target"":null,""alias"":""luogo"",""required"":0,""showNull"":0}]",multipleSelect,6,1,4
19,Dislivello,"[{""name"":""0 - 500 m"",""value"":2,""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":1},{""name"":""501 - 1000 m"",""value"":3,""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":1},{""name"":""1001 - 2000 m"",""value"":4,""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":1},{""name"":""2001 - 5000 m"",""value"":5,""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":1},{""name"":""5001 e oltre"",""value"":6,""target"":null,""alias"":""dislivello"",""required"":0,""showNull"":1}]",select,6,1,5
21,Lunghezza,"[{""name"":null,""value"":"""",""target"":null,""alias"":""lunghezza"",""required"":0,""showNull"":0}]",textfield,6,1,6
22,Tipo di fondo,"[{""name"":""Ciclabile (sede propria)"",""value"":""2"",""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""Ciclovia (tratti condivisi)"",""value"":""3"",""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""Gravel (Fondo misto)"",""value"":""4"",""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""100% Asfalto"",""value"":""6"",""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,6,1,7
23,Difficoltà-hihi,"[{""name"":""Famiglia"",""value"":""2"",""target"":null,""alias"":""Difficolta-hihi123"",""required"":0,""showNull"":1},{""name"":""Micro avventura"",""value"":""3"",""target"":null,""alias"":""Difficolta"",""required"":0,""showNull"":1},{""name"":""Grande avventura"",""value"":""4"",""target"":null,""alias"":""Difficolta"",""required"":0,""showNull"":1}]",select,6,1,9
24,Da non perdere,"[{""name"":null,""value"":"""",""editor"":""1"",""rows"":"""",""cols"":"""",""target"":null,""alias"":""binoculars"",""required"":0,""showNull"":0}]",textarea,6,1,10
25,Altre risorse,"[{""name"":null,""value"":"""",""editor"":""1"",""rows"":""3"",""cols"":"""",""target"":null,""alias"":""bookmark"",""required"":0,""showNull"":0}]",textarea,6,1,14
26,Info utili,"[{""name"":null,""value"":"""",""editor"":""1"",""rows"":""3"",""cols"":"""",""target"":null,""alias"":""comment"",""required"":0,""showNull"":0}]",textarea,6,1,11
27,Dormire,"[{""name"":null,""value"":"""",""editor"":""1"",""rows"":""3"",""cols"":"""",""target"":null,""alias"":""bed"",""required"":0,""showNull"":0}]",textarea,6,1,12
28,Mangiare,"[{""name"":null,""value"":"""",""editor"":""1"",""rows"":""3"",""cols"":"""",""target"":null,""alias"":""beer"",""required"":0,""showNull"":0}]",textarea,6,1,13
29,Percorso,"[{""name"":""Ad anello "",""value"":""2"",""target"":null,""alias"":""Tipodipercorso"",""required"":0,""showNull"":1},{""name"":""Lineare"",""value"":""3"",""target"":null,""alias"":""Tipodipercorso"",""required"":0,""showNull"":1}]",select,6,1,8
30,Amazon,"[{""name"":null,""value"":"""",""target"":null,""alias"":"""",""required"":0,""showNull"":0}]",textfield,6,1,15
31,Generale,"[{""name"":""1"",""value"":2,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""2"",""value"":3,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""3"",""value"":4,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""4"",""value"":5,""target"":null,""alias"":"""",""required"":0,""showNull"":1},{""name"":""5"",""value"":6,""target"":null,""alias"":"""",""required"":0,""showNull"":1}]",select,7,1,4
