1,Public,"0",[1]
2,Registered,1,"[7,2,3,8]"
3,Special,2,"[7,8]"
4,Author,3,[3]
5,Guest,"0",[9]
6,Weekender,"0","[7,11,12,13,14,8]"
7,Cicloviaggiatore,"0","[7,12,13,14,8]"
8,Esploratore,"0","[7,13,14,8]"
9,Giramondo,"0","[7,14,8]"
10,E-book,"0","[7,15,11,12,13,14,8]"
11,E-book Ferrovie,"0","[7,16,11,12,13,14,8]"
