56,Polish (Poland),pl-PL,2013-12-25 10:16:50,"0","[""studiomdx"",""witold"",""imarklee"",""Apson""]",100,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/22"",""md5"":""66048859be708e6adea6fd2311d3fa05""}"
57,Turkish (Turkey),tr-TR,2013-12-25 10:16:50,"0","[""imarklee"",""Apson""]",100,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/23"",""md5"":""a0b2d79b9c1a44edec67bb2e74bde4b4""}"
58,Afrikaans (South Africa),af-ZA,2013-12-25 10:16:50,"0","[""Pro_f_sor"",""imarklee"",""Apson""]","0","{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/24"",""md5"":""e5bed3cc82fa5d72d57a9329f0e7fe95""}"
59,Chinese (Taiwan),zh-TW,2013-12-25 10:16:50,"0","[""SONGSHUANG"",""saviorho"",""imarklee"",""Apson""]",3,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/25"",""md5"":""9ad09bce6108a83d31587db8e0054331""}"
60,Croatian (Croatia),hr-HR,2013-12-25 10:16:50,"0","[""Buda"",""imarklee"",""Apson""]",5,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/26"",""md5"":""0f54c13f21b522a0a1bbad1c5746fdf5""}"
61,Romanian (Romania),ro-RO,2013-12-25 10:16:50,"0","[""jimie"",""imarklee"",""Apson""]",39,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/28"",""md5"":""106318dc8dfe7b5515950564877bff99""}"
62,Vietnamese (Viet Nam),vi-VN,2013-12-25 10:16:50,"0","[""imarklee"",""Apson""]",45,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/29"",""md5"":""10bc8ff51e22fc63a40daa164f2216cd""}"
63,Greek (Greece),el-GR,2013-12-25 10:16:50,"0","[""alsthom"",""imarklee"",""Apson""]",17,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/30"",""md5"":""0be1abc55937f11dc9821237e874a03a""}"
64,Indonesian (Indonesia),id-ID,2013-12-25 10:16:50,"0","[""freecyberscom"",""nurla"",""imarklee"",""Apson""]",3,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/31"",""md5"":""9e60c6d2e6319ad80a0ff65971e6ea17""}"
65,Chinese (China),zh-CN,2013-12-08 16:22:53,"0","[""zoevy"",""imarklee"",""Apson""]",1,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/35"",""md5"":""abe46f0ebd48baab8472e3599fbdb05f""}"
66,Norwegian BokmÃƒÂ¥l (Norway),nb-NO,2013-12-25 10:16:50,"0","[""fjordhost""]","0","{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/36"",""md5"":""e43c5f35dbc5f3a25324a94ff4b0ad83""}"
67,Arabic (Unitag),ar-AA,2013-12-25 10:16:50,"0","[""hd23"",""imarklee"",""Apson""]",6,"{""download"":""http:\/\/stackideas.com\/updater\/languages\/download\/easysocial\/37"",""md5"":""cabd33372327ae307e798815ab1fcbf0""}"
