272,A,28678,10,"0","0",2022-03-17 09:31:36,"16.00000",EUR,R,"79.11.234.30",[]
274,A,28682,10,"0","0",2022-03-17 12:00:13,"16.00000",EUR,R,93.34.239.108,[]
275,A,28669,10,"0","0",2022-03-17 12:40:47,"16.00000",EUR,R,2.228.22.226,[]
278,A,28689,10,"0","0",2022-03-18 07:50:22,"16.00000",EUR,R,95.244.71.28,[]
279,A,28703,10,"0","0",2022-03-19 06:03:46,"16.00000",EUR,R,185.73.245.178,[]
281,A,27137,10,"0","0",2022-03-20 21:00:55,"16.00000",EUR,R,151.28.13.101,[]
282,A,28718,10,"0","0",2022-03-21 08:11:44,"16.00000",EUR,R,93.34.234.152,[]
286,A,28724,10,"0","0",2022-03-22 08:04:28,"16.00000",EUR,R,185.14.11.37,[]
287,A,27626,10,"0","0",2022-03-22 08:23:45,"16.00000",EUR,R,109.116.155.64,[]
288,A,16445,10,"0","0",2022-03-22 10:35:20,"16.00000",EUR,R,"89.202.144.50",[]
289,A,17450,10,"0","0",2022-03-22 11:02:43,"16.00000",EUR,R,90.16.29.28,[]
290,R,28729,10,"0","0",2022-03-22 12:11:33,"16.00000",EUR,I,5.168.19.95,[]
293,A,28732,10,"0","0",2022-03-22 14:08:12,"16.00000",EUR,R,"95.223.69.0",[]
294,A,28733,10,"0","0",2022-03-22 14:57:54,"16.00000",EUR,R,94.81.194.2,[]
295,A,28735,10,"0","0",2022-03-22 15:35:07,"16.00000",EUR,R,"217.57.47.210",[]
298,A,20518,10,"0","0",2022-03-22 17:37:08,"16.00000",EUR,R,101.56.53.205,[]
299,A,28721,10,"0","0",2022-03-22 18:11:34,"16.00000",EUR,R,37.162.172.166,[]
302,A,28545,10,"0","0",2022-03-23 14:33:52,"16.00000",EUR,R,80.20.39.178,[]
307,A,28754,10,"0","0",2022-03-24 16:32:46,"16.00000",EUR,R,81.56.36.113,[]
311,A,28763,10,"0","0",2022-03-25 10:57:11,"16.00000",EUR,R,77.241.6.151,[]
313,A,28361,10,"0","0",2022-03-27 10:06:54,"16.00000",EUR,R,78.134.30.137,[]
315,A,11704,10,"0","0",2022-03-27 15:24:40,"16.00000",EUR,R,"151.44.52.220",[]
316,A,11900,10,"0","0",2022-03-29 09:48:34,"16.00000",EUR,R,93.51.24.138,[]
319,A,28801,10,"0","0",2022-03-30 15:04:29,"16.00000",EUR,R,80.182.252.58,[]
320,A,28808,10,"0","0",2022-03-31 11:29:41,"16.00000",EUR,R,5.171.202.24,[]
322,A,28812,10,"0","0",2022-04-01 06:23:10,"16.00000",EUR,R,37.163.16.237,[]
325,A,25002,10,"0","0",2022-04-04 05:46:32,"16.00000",EUR,R,151.21.51.141,[]
326,A,28838,10,"0","0",2022-04-04 05:52:26,"16.00000",EUR,R,151.67.126.63,[]
331,A,28870,10,"0","0",2022-04-08 01:57:26,"16.00000",EUR,R,172.225.96.223,[]
334,A,28886,10,"0","0",2022-04-09 17:44:46,"16.00000",EUR,R,31.193.35.174,[]
336,A,28899,10,"0","0",2022-04-11 10:35:48,"16.00000",EUR,R,151.29.125.163,[]
338,A,28935,10,"0","0",2022-04-13 22:37:49,"16.00000",EUR,R,101.56.110.42,[]
339,A,28951,10,"0","0",2022-04-15 22:19:33,"16.00000",EUR,R,101.56.213.231,[]
341,A,27633,10,"0","0",2022-04-19 13:19:38,"16.00000",EUR,R,37.159.117.65,[]
342,A,23882,10,"0","0",2022-04-23 07:12:40,"16.00000",EUR,R,77.32.53.143,[]
343,A,29021,10,"0","0",2022-04-23 13:30:41,"16.00000",EUR,R,5.90.115.114,[]
346,A,29035,10,"0","0",2022-04-26 09:16:04,"16.00000",EUR,R,151.46.30.148,[]
347,A,24513,10,"0","0",2022-04-26 12:12:56,"16.00000",EUR,R,93.47.224.49,[]
350,A,29057,10,"0","0",2022-04-28 14:56:13,"16.00000",EUR,R,5.88.48.67,[]
353,A,23800,10,"0","0",2022-05-03 04:20:46,"16.00000",EUR,R,79.19.199.211,[]
355,A,26219,10,"0","0",2022-05-03 12:12:59,"16.00000",EUR,R,"37.182.254.220",[]
357,A,27239,10,"0","0",2022-05-03 19:36:27,"16.00000",EUR,R,93.47.220.133,[]
360,A,29123,10,"0","0",2022-05-06 14:06:52,"16.00000",EUR,R,195.137.144.243,[]
361,A,29134,10,"0","0",2022-05-07 19:28:53,"16.00000",EUR,R,83.175.113.123,[]
363,A,29151,10,"0","0",2022-05-09 06:46:13,"16.00000",EUR,R,145.224.103.172,[]
364,A,28456,7,"0","0",2022-05-10 09:01:08,"15.00000",EUR,R,94.126.57.114,[]
365,A,28456,10,"0","0",2022-05-10 09:02:06,"16.00000",EUR,R,94.126.57.114,[]
366,A,9661,10,"0","0",2022-05-10 14:05:05,"16.00000",EUR,R,151.62.246.49,[]
367,A,29165,10,"0","0",2022-05-10 15:05:53,"16.00000",EUR,R,79.44.183.221,[]
370,A,12622,10,"0","0",2022-05-17 06:14:55,"16.00000",EUR,R,93.41.18.188,[]
371,A,29223,10,"0","0",2022-05-17 06:50:02,"16.00000",EUR,R,"193.207.195.190",[]
374,A,10176,10,"0","0",2022-05-20 15:33:10,"16.00000",EUR,R,93.43.200.165,[]
375,A,29285,10,"0","0",2022-05-26 02:44:07,"16.00000",EUR,R,93.49.248.233,[]
379,A,29310,10,"0","0",2022-05-29 16:10:59,"16.00000",EUR,R,151.62.233.188,[]
381,A,25062,9,"0","0",2022-06-02 19:20:53,"69.00000",EUR,R,193.31.249.244,[]
382,A,29394,10,"0","0",2022-06-08 12:11:20,"16.00000",EUR,R,159.149.119.97,[]
383,A,29402,10,"0","0",2022-06-09 07:18:57,"16.00000",EUR,R,"37.103.102.47,85.115.39.180",[]
384,A,28513,10,"0","0",2022-06-09 11:14:07,"16.00000",EUR,R,88.159.151.203,[]
385,A,29437,10,"0","0",2022-06-13 11:32:36,"16.00000",EUR,R,"62.2.76.230",[]
387,A,29442,9,"0","0",2022-06-14 07:36:01,"69.00000",EUR,R,151.38.79.166,[]
390,A,29203,10,"0","0",2022-06-15 09:44:14,"16.00000",EUR,R,2.39.142.208,[]
391,A,29459,10,"0","0",2022-06-15 20:04:59,"16.00000",EUR,R,93.58.108.121,[]
394,A,29002,10,"0","0",2022-06-30 07:22:29,"16.00000",EUR,R,212.103.204.26,[]
