1836,com_sh404sef,sh404sef.general,url_source_recording_enabled,3,6d8acf259630b98319970e45a80591f94fef28ca,URL source recording is enabled.,"",1,2019-12-05 15:21:18,2019-12-05 16:09:44,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1869,com_sh404sef,sh404sef.updates,4.19.0.4059,"0",bf60f6c13d4431116f1bd36256cf8ce50a240433,Version 4.19.0.4059 is available! More details on the <i>About/updates</i> panel.,"",1,2020-01-30 08:45:51,2020-01-30 17:57:05,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1870,com_sh404sef,sh404sef.general,url_source_recording_enabled,3,176cac70bbd53afd3c825a7ecedbcd0b8a2bbdad,URL source recording is enabled.,"",1,2020-03-13 16:52:10,2020-03-13 16:56:46,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1906,com_sh404sef,sh404sef.updates,4.20.3.4174,"0",8462393120a0f514b028c31ba99acf49d110aa46,Version 4.20.3.4174 is available! More details on the <i>About/updates</i> panel.,"",1,2020-04-17 08:30:36,2020-04-19 13:24:41,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1912,com_sh404sef,sh404sef.updates,4.21.0.4206,"0",2d64e7ecfc19c8891d08cf3d62e1263ca0e13480,Version 4.21.0.4206 is available! More details on the <i>About/updates</i> panel.,"",1,2020-06-29 07:56:10,2020-06-30 12:22:22,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1913,com_sh404sef,sh404sef.general,url_source_recording_enabled,3,aa4f6aaf0cc99e43dc73355c7d2488fb6e9325c8,URL source recording is enabled.,"",1,2020-11-25 07:59:49,2020-11-25 08:44:28,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1914,com_sh404sef,sh404sef.general,url_source_recording_enabled,3,2e19818f33205a0283e5651bf531c28bedff333f,URL source recording is enabled.,"",1,2020-11-28 13:37:22,2021-01-19 11:09:40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2054,com_sh404sef,sh404sef.updates,4.22.1.4233,"0",f0a54ced3b8dbcb0fcb2175b8eb22e7a8cbaa20d,Version 4.22.1.4233 is available! More details on the <i>About/updates</i> panel.,"",1,2020-12-08 15:26:22,2020-12-11 14:29:02,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2233,com_sh404sef,sh404sef.updates,4.23.1.4249,"0",5e7bfea2671f3e6ffe88a6f4bed196433003a191,Version 4.23.1.4249 is available! More details on the <i>About/updates</i> panel.,"",1,2021-03-22 09:31:07,2021-03-22 22:33:40,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2283,com_sh404sef,sh404sef.updates,4.23.2.4269,"0",7b008819fadbc2da50adaee8bdb985e2b1757432,Version 4.23.2.4269 is available! More details on the <i>About/updates</i> panel.,"",1,2021-06-25 09:22:27,2021-07-08 14:41:54,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2382,com_sh404sef,sh404sef.updates,"4.23.3.4280","0",b725ddf2cbab725084764de0c5de9b5297208933,Version 4.23.3.4280 is available! More details on the <i>About/updates</i> panel.,"",1,2021-08-31 09:40:13,2021-09-02 17:26:53,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2398,com_sh404sef,sh404sef.updates,4.24.0.4301,"0",77dfe6e6aa70dad81eac93738eb594f3d548124b,Version 4.24.0.4301 is available! More details on the <i>About/updates</i> panel.,"",1,2022-02-14 20:10:00,2022-03-03 09:08:57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2413,com_sh404sef,sh404sef.updates,4.24.1.4308,"0",16e25d5ec4dd8641c5562a3d178cc5d3efe6720e,Version 4.24.1.4308 is available! More details on the <i>About/updates</i> panel.,"",1,2022-06-09 06:13:12,2022-06-09 06:15:42,"0000-00-00 00:00:00","0000-00-00 00:00:00"
3130,com_sh404sef,joomla.config,sef_settings_dont_match,3,2d7b49833646ae0dc12d97e9f25d5e1dd5269a13,Joomla SEF settings are probably not correct,"Joomla! and sh404SEF SEF URLs settings don't match. Check that Joomla! SEF URLs are enabled. Check also that <strong>if you enabled <i>Adds Suffix to URL</i></strong>, you also added a <i>File suffix</i> in sh404SEF configuration. This is not required by sh404SEF but some extensions may not work properly.",7,2022-12-26 01:47:45,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
3131,com_sh404sef,sh404sef.updates,4.24.6.4348,"0",a9a85206a3dd786fed2e609c5f796a798f2afa6a,Version 4.24.6.4348 is available! More details on the <i>About/updates</i> panel.,"",1,2022-12-26 01:47:45,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
