1,Not subject to sales tax,No taxes,"0",2,"0"
1000,Rivalsa INPS,Rivalsa I.N.P.S.,"0",3,"0"
1001,I.V.A.,I.V.A.,1,4,"0"
1002,Spedizione estera,Spedizione,"0",5,"0"
1004,I.V.A. 4%,I.V.A. 4%,"0",6,"0"
1005,Spedizioni digitali,s.d.,"0",1,"0"
