383,350,usersubscription,13331,3,U,"1.00000",,S13331-10461-3,Aggiorna Esploratore,Aggiorna esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-24 08:55:01,2022-02-24 08:55:01,2023-02-24 08:55:01,"0",2,,"",1002,,,"0","0",1
384,351,usersubscription,13332,3,U,"1.00000",,S13332-12397-3,Aggiorna Esploratore,Aggiorna esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-24 08:59:48,2022-02-24 08:59:48,2023-02-24 08:59:48,"0",2,,"",1002,,,"0","0",1
386,353,usersubscription,13334,3,U,"1.00000",,S13334-9736-3,Aggiorna Esploratore,Aggiorna esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-24 09:11:12,2022-02-24 09:11:12,2023-02-24 09:11:12,"0",2,,"",1002,,,"0","0",1
387,354,usersubscription,13335,1,N,"1.00000",,S13335-24155-1, Spirito libero - FREE, free,,,,"0.00000",EUR,"0.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-24 10:33:03,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1002,,,"0","0",1
388,354,merchandise,97,7,N,"1.00000",,M97-24155-7, E-book Viaggiare in bici, ebook,,,,"0.00000",EUR,"15.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","",2021-02-24 10:33:03,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1,,,"0","0",2
389,354,merchandise,98,9,N,"1.00000",,M98-24155-9, Magazine Impronte, magazine,,,,"0.00000",EUR,"69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","",2021-02-24 10:33:03,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1002,,,"0","0",3
394,359,usersubscription,13357,2,U,"1.00000",,S13357-12579-2,Aggiorna Weekender,Aggiorna weekender,,,,"0.00000",EUR,"29.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-26 14:48:05,2022-02-26 14:48:05,2023-02-26 14:48:05,"0",2,,"",1,,,"0","0",1
396,361,usersubscription,13370,3,N,"1.00000",,S13370-24187-3, Esploratore, esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-27 11:18:53,2022-02-27 11:18:53,2023-02-27 11:18:53,"0",2,,"",1002,,,"0","0",1
397,362,merchandise,102,9,U,"1.00000",,M102-11584-9, Magazine Impronte, magazine,,,,"0.00000",EUR,"69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","",2021-02-27 15:47:31,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1002,,,"0","0",1
398,363,usersubscription,13383,3,U,"1.00000",,S13383-16049-3,Aggiorna Esploratore,Aggiorna esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-02-28 12:21:19,2022-02-28 12:21:19,2023-02-28 12:21:19,"0",2,,"",1002,,,"0","0",1
399,364,usersubscription,13392,3,U,"1.00000",,S13392-16461-3,Aggiorna Esploratore,Aggiorna esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-01 10:03:27,2022-03-01 10:03:27,2023-03-01 10:03:27,"0",2,,"",1002,,,"0","0",1
400,365,usersubscription,13393,2,U,"1.00000",,S13393-11698-2,Aggiorna Weekender,Aggiorna weekender,,,,"0.00000",EUR,"29.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-01 11:13:54,2022-03-01 11:13:54,2023-03-01 11:13:54,"0",2,,"",1,,,"0","0",1
402,367,usersubscription,13398,4,N,"1.00000",,S13398-24207-4, Cicloviaggiatore, cicloviaggiatore,,,,"0.00000",EUR,"49.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-01 14:08:02,2022-03-01 14:08:02,2023-03-01 14:08:02,"0",2,,"",1002,,,"0","0",1
404,369,usersubscription,13401,3,N,"1.00000",,S13401-24209-3, Esploratore, esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-01 20:54:16,2022-03-01 20:54:16,2023-03-01 20:54:16,"0",2,,"",1002,,,"0","0",1
409,374,usersubscription,13411,4,U,"1.00000",,S13411-21895-4,Aggiorna Cicloviaggiatore,Aggiorna cicloviaggiatore,,,,"0.00000",EUR,"49.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-03 14:16:28,2022-03-03 14:16:28,2023-03-03 14:16:28,"0",2,,"",1002,,,"0","0",1
410,375,usersubscription,13414,3,N,"1.00000",,S13414-24221-3, Esploratore, esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-03 17:00:00,2022-03-03 17:00:00,2023-03-03 17:00:00,"0",2,,"",1002,,,"0","0",1
412,377,usersubscription,13418,4,U,"1.00000",,S13418-19796-4,Aggiorna Cicloviaggiatore,Aggiorna cicloviaggiatore,,,,"0.00000",EUR,"49.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-04 09:38:33,2022-03-04 09:38:33,2023-03-04 09:38:33,"0",2,,"",1002,,,"0","0",1
413,378,usersubscription,13421,4,U,"1.00000",,S13421-11807-4,Aggiorna Cicloviaggiatore,Aggiorna cicloviaggiatore,,,,"0.00000",EUR,"49.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-04 17:39:31,2022-03-04 17:39:31,2023-03-04 17:39:31,"0",2,,"",1002,,,"0","0",1
414,379,usersubscription,13428,2,N,"1.00000",,S13428-24232-2, Weekender, weekender,,,,"0.00000",EUR,"29.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-05 21:37:36,2022-03-05 21:37:36,2023-03-05 21:37:36,"0",2,,"",1,,,"0","0",1
425,389,usersubscription,13461,2,N,"1.00000",,S13461-24260-2, Weekender, weekender,,,,"0.00000",EUR,"29.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-08 16:58:04,2022-03-08 16:58:04,2023-03-08 16:58:04,"0",2,,"",1,,,"0","0",1
427,391,usersubscription,13468,3,U,"1.00000",,S13468-22958-3,Aggiorna Esploratore,Aggiorna esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-09 13:31:09,2022-03-09 13:31:09,2023-03-09 13:31:09,"0",2,,"",1002,,,"0","0",1
428,392,usersubscription,13470,4,U,"1.00000",,S13470-22968-4,Aggiorna Cicloviaggiatore,Aggiorna cicloviaggiatore,,,,"0.00000",EUR,"49.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-09 18:02:13,2022-03-09 18:02:13,2023-03-09 18:02:13,"0",2,,"",1002,,,"0","0",1
430,394,merchandise,111,9,U,"1.00000",,M111-16717-9, Magazine Impronte, magazine,,,,"0.00000",EUR,"69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","",2021-03-09 21:36:52,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1002,,,1,"0",1
431,395,usersubscription,13473,3,N,"1.00000",,S13473-24269-3, Esploratore, esploratore,,,,"0.00000",EUR,"99.00000","0001-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-10 04:54:12,2022-03-10 04:54:12,2023-03-10 04:54:12,"0",2,,"",1002,,,"0","0",1
434,397,usersubscription,13497,1,N,"1.00000",,S13497-24291-1, Spirito libero - FREE, free,,,,"0.00000",EUR,"0.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",2021-03-12 14:50:04,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1002,,,"0","0",1
435,397,merchandise,113,9,N,"1.00000",,M113-24291-9, Magazine Impronte, magazine,,,,"0.00000",EUR,"69.00000","0000-00-00 00:00:00","0000-00-00 00:00:00","",2021-03-12 14:50:04,"0000-00-00 00:00:00","0000-00-00 00:00:00","0","0",,"",1002,,,1,"0",2
