1,13,43,user,"0"
2,9,43,user,"0"
3,10,43,user,"0"
4,11,43,user,10
5,12,43,user,10
6,6,43,user,"0"
7,7,43,user,30
8,8,43,user,30
9,4,43,user,"0"
10,5,43,user,"0"
11,3,43,user,"0"
12,2,43,user,"0"
13,1,43,user,"0"
14,13,44,user,"0"
15,9,44,user,"0"
16,10,44,user,10
17,11,44,user,10
18,12,44,user,10
19,6,44,user,"0"
20,7,44,user,30
21,8,44,user,30
22,4,44,user,"0"
23,5,44,user,10
24,3,44,user,"0"
25,2,44,user,"0"
26,1,44,user,"0"
27,13,42,user,"0"
28,9,42,user,"0"
29,10,42,user,"0"
30,11,42,user,10
31,12,42,user,10
32,6,42,user,"0"
33,7,42,user,30
34,8,42,user,30
35,4,42,user,"0"
36,5,42,user,10
37,3,42,user,"0"
38,2,42,user,"0"
39,1,42,user,"0"
