144,2,1,"0",1,bfFakeName3,bfFakeTitle3,"","","","0","0","0",400,"0",20,"0",20,"0","0","0","","","","0","0","","0","0",1,40,"","0","0","0","0","0","0","0","","","0",""
145,2,1,"0",1,bfFakeName4,bfFakeTitle4,"","","","0","0","0",440,"0",20,"0",20,"0","0","0","","","","0","0","","0","0",1,38,"","0","0","0","0","0","0","0","","","0",""
146,3,1,1,1,bfQuickMode2880762,Nome,Text,"","",1,"0","0","0","0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0",2,"",Inserisci il tuo nome,"0",""
147,3,1,2,1,bfQuickMode9229721,Cognome,Text,"","",1,"0","0",40,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0",1,"",Inserisci il tuo cognome,"0",""
148,3,1,3,1,bfQuickMode8584497,Email,Text,"","",1,"0","0",80,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0",1,"",Inserisci la tua email,"0",""
149,3,1,4,1,bfQuickMode3945746,Via/Piazza,Text,"","",1,"0","0",120,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
150,3,1,5,1,bfQuickMode3486476,Città/Paese/Località,Text,"","",1,"0","0",160,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
151,3,1,6,1,bfQuickMode9844682,Provincia,Text,"","",1,"0","0",200,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
152,3,1,7,1,bfQuickMode9644238,CAP,Text,"","",1,"0","0",240,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
153,3,1,8,1,bfQuickMode3097509,Numero di magliette,Select List,"","",1,"0","0",280,"0",20,"0",20,"0","0","0",1,"0;1;value1
0;2;value2
0;3;value3
0;4;value4
0;5;value5
0;di più - specificare nelle note;value6","","0",8,"","0","0","0",16,"","0","0","0","0","0","0",1,"","","0",""
154,3,1,11,1,bfQuickMode7103686,Note aggiuntive,Textarea,"","",1,"0","0",400,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
155,3,1,10,1,bfQuickMode4841021,Metodo di pagamento,Radio Group,"","",1,"0","0",360,"0",20,"0",20,"0","0","0","","1;Paypal;paypal
0;Bonifico Bancario;bonifico","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
158,3,1,12,1,bfQuickMode4211542,Sei umano?,Captcha,"","","0","0","0",440,"0",20,"0",20,"0","0","0","","","","0","0","","0","0","0","0","","0","0","0","0","0","0","0","","","0",""
169,3,1,9,1,bfQuickMode1922722,Taglia,Checkbox Group,"","",1,"0","0",320,"0",20,"0",20,"0","0","0","","0;XS;XS
0;S;S
0;M;M
0;L;L
0XL;XL
0;XXL;XXL","","0",8,"","0","0","0",16,"","0","0","0","0","0","0",1,"","","0",""
170,3,1,"0",1,bfFakeName,bfFakeTitle,"","","","0","0","0",480,"0",20,"0",20,"0","0","0","","","","0","0","","0","0",1,41,"","0","0","0","0","0","0","0","","","0",""
171,3,1,"0",1,bfFakeName2,bfFakeTitle2,"","","","0","0","0",520,"0",20,"0",20,"0","0","0","","","","0","0","","0","0",1,23,"","0","0","0","0","0","0","0","","","0",""
172,3,1,"0",1,bfFakeName3,bfFakeTitle3,"","","","0","0","0",560,"0",20,"0",20,"0","0","0","","","","0","0","","0","0",1,40,"","0","0","0","0","0","0","0","","","0",""
173,3,1,"0",1,bfFakeName4,bfFakeTitle4,"","","","0","0","0",600,"0",20,"0",20,"0","0","0","","","","0","0","","0","0",1,38,"","0","0","0","0","0","0","0","","","0",""
