1,smile,,twemoji twemoji-1f604,1,1,1,
2,laughing,,twemoji twemoji-1f606,1,1,2,
3,blush,,twemoji twemoji-1f60a,1,1,3,
4,smiley,,twemoji twemoji-1f603,1,1,4,
5,relaxed,,twemoji twemoji-263a,1,1,5,
6,smirk,,twemoji twemoji-1f60f,1,1,6,
7,heart_eyes,,twemoji twemoji-1f60d,1,1,7,
8,kissing_heart,,twemoji twemoji-1f618,1,1,8,
9,kissing_closed_eyes,,twemoji twemoji-1f61a,1,1,9,
10,flushed,,twemoji twemoji-1f633,1,1,10,
11,relieved,,twemoji twemoji-1f625,1,1,11,
12,satisfied,,twemoji twemoji-1f60c,1,1,12,
13,grin,,twemoji twemoji-1f601,1,1,13,
14,wink,,twemoji twemoji-1f609,1,1,14,
15,stuck_out_tongue_winking_eye,,twemoji twemoji-1f61c,1,1,15,
16,stuck_out_tongue_closed_eyes,,twemoji twemoji-1f61d,1,1,16,
17,grinning,,twemoji twemoji-1f600,1,1,17,
18,kissing,,twemoji twemoji-1f617,1,1,18,
19,kissing_smiling_eyes,,twemoji twemoji-1f619,1,1,19,
20,stuck_out_tongue,,twemoji twemoji-1f61b,1,1,20,
21,sleeping,,twemoji twemoji-1f634,1,1,21,
22,worried,,twemoji twemoji-1f61f,1,1,22,
23,frowning,,twemoji twemoji-1f626,1,1,23,
24,anguished,,twemoji twemoji-1f627,1,1,24,
25,open_mouth,,twemoji twemoji-1f62e,1,1,25,
26,grimacing,,twemoji twemoji-1f62c,1,1,26,
27,confused,,twemoji twemoji-1f615,1,1,27,
28,hushed,,twemoji twemoji-1f62f,1,1,28,
29,expressionless,,twemoji twemoji-1f611,1,1,29,
30,unamused,,twemoji twemoji-1f612,1,1,30,
31,sweat_smile,,twemoji twemoji-1f605,1,1,31,
32,sweat,,twemoji twemoji-1f613,1,1,32,
33,weary,,twemoji twemoji-1f629,1,1,33,
34,pensive,,twemoji twemoji-1f614,1,1,34,
35,disappointed,,twemoji twemoji-1f61e,1,1,35,
36,confounded,,twemoji twemoji-1f616,1,1,36,
37,fearful,,twemoji twemoji-1f628,1,1,37,
38,cold_sweat,,twemoji twemoji-1f630,1,1,38,
39,persevere,,twemoji twemoji-1f623,1,1,39,
40,cry,,twemoji twemoji-1f622,1,1,40,
41,sob,,twemoji twemoji-1f62d,1,1,41,
42,joy,,twemoji twemoji-1f602,1,1,42,
43,astonished,,twemoji twemoji-1f632,1,1,43,
44,scream,,twemoji twemoji-1f631,1,1,44,
45,tired_face,,twemoji twemoji-1f62b,1,1,45,
46,angry,,twemoji twemoji-1f620,1,1,46,
47,rage,,twemoji twemoji-1f621,1,1,47,
48,triumph,,twemoji twemoji-1f624,1,1,48,
49,sleepy,,twemoji twemoji-1f62a,1,1,49,
50,yum,,twemoji twemoji-1f60b,1,1,50,
51,mask,,twemoji twemoji-1f637,1,1,51,
52,sunglasses,,twemoji twemoji-1f60e,1,1,52,
53,dizzy_face,,twemoji twemoji-1f635,1,1,53,
54,neutral_face,,twemoji twemoji-1f610,1,1,54,
55,no_mouth,,twemoji twemoji-1f636,1,1,55,
56,innocent,,twemoji twemoji-1f607,1,1,56,
57,beer,,twemoji twemoji-1f37a,1,1,57,
58,coffee,,twemoji twemoji-2615,1,1,58,
59,tada,,twemoji twemoji-1f389,1,1,59,
60,zzz,,twemoji twemoji-1f4a4,1,1,60,
61,fork_and_knife,,twemoji twemoji-1f374,1,1,61,
62,birthday,,twemoji twemoji-1f382,1,1,62,
63,heart,,fa fa-lg fa-heart text-danger,1,1,63,
64,thumbsup,,fa fa-lg fa-thumbs-o-up text-primary,1,1,64,
65,thumbsdown,,fa fa-lg fa-thumbs-o-down text-primary,1,1,65,
66,car,,fa fa-lg fa-car text-info,1,1,66,
67,bell,,fa fa-lg fa-bell-o text-warning,1,1,67,
68,bomb,,fa fa-lg fa-bomb text-default,1,1,68,
69,book,,fa fa-lg fa-book text-default,1,1,69,
70,bus,,fa fa-lg fa-bus text-info,1,1,70,
71,taxi,,fa fa-lg fa-taxi text-warning,1,1,71,
72,train,,fa fa-lg fa-train text-info,1,1,72,
73,plane,,fa fa-lg fa-plane text-info,1,1,73,
74,music,,fa fa-lg fa-music text-primary,1,1,74,
75,soccer,,fa fa-lg fa-futbol-o text-default,1,1,75,
76,snow,,fa fa-lg fa-snowflake-o text-primary,1,1,76,
77,paperclip,,fa fa-lg fa-paperclip text-default,1,1,77,
78,bicycle,,fa fa-lg fa-bicycle text-info,1,1,78,
79,motorcycle,,fa fa-lg fa-motorcycle text-info,1,1,79,
80,recycle,,fa fa-lg fa-recycle text-primary,1,1,80,
81,gift,,fa fa-lg fa-gift text-danger,1,1,81,
82,camera,,fa fa-lg fa-camera-retro text-info,1,1,82,
83,globe,,fa fa-lg fa-globe text-primary,1,1,83,
84,idea,,fa fa-lg fa-lightbulb-o text-warning,1,1,84,
85,paw,,fa fa-lg fa-paw text-default,1,1,85,
86,shopping,,fa fa-lg fa-shopping-bag text-info,1,1,86,
87,phone,,fa fa-lg fa-phone text-success,1,1,87,
88,tree,,fa fa-lg fa-tree text-success,1,1,88,
89,trophy,,fa fa-lg fa-trophy text-warning,1,1,89,
90,umbrella,,fa fa-lg fa-umbrella text-info,1,1,90,
91,vide_games,,fa fa-lg fa-gamepad text-default,1,1,91,
