1,3
62,2
62,8
62,13
67,2
67,3
68,2
68,3
69,2
69,3
70,2
70,3
71,2
71,3
78,2
78,3
79,2
79,3
83,2
83,3
85,2
85,3
97,2
97,3
102,2
102,3
110,2
110,3
112,2
112,3
118,2
118,8
118,13
119,2
119,3
122,2
122,3
125,2
125,3
137,2
137,3
139,2
139,3
163,2
163,3
165,2
165,3
166,2
166,3
168,2
168,3
169,2
169,3
171,2
171,3
172,2
172,3
173,2
173,3
176,2
176,3
177,2
177,3
179,2
179,3
180,2
180,3
182,2
182,3
184,2
184,3
186,2
186,3
187,2
187,3
190,2
190,3
191,2
191,3
201,2
201,3
202,2
202,3
203,2
203,3
204,2
204,3
206,2
206,3
209,2
209,3
210,2
210,3
211,2
211,3
212,2
212,3
214,2
214,3
217,2
217,3
219,2
219,3
220,2
220,3
221,2
221,3
222,2
222,3
224,2
224,3
226,2
226,3
227,2
227,3
228,2
228,3
230,2
230,13
231,2
231,3
232,2
232,3
233,2
233,3
234,2
234,3
235,2
235,3
237,2
237,3
238,2
238,3
239,2
239,3
240,2
240,3
242,2
242,3
244,2
244,3
245,2
245,3
246,2
246,3
247,2
247,3
248,2
248,3
249,2
249,3
250,2
250,3
251,2
251,3
252,2
252,3
253,2
253,3
254,2
254,3
255,2
255,3
256,2
256,3
257,2
257,3
258,2
258,3
259,2
259,3
260,2
260,3
261,2
261,3
262,2
262,3
263,2
263,3
265,2
265,3
266,2
266,3
267,2
267,3
268,2
268,13
269,2
269,3
270,2
270,3
271,2
271,3
272,2
272,3
274,2
274,3
275,2
275,3
279,2
279,3
280,2
280,3
281,2
281,3
282,2
282,3
283,2
283,3
285,2
285,3
286,2
286,3
287,2
287,3
288,2
288,3
290,2
290,3
291,2
291,3
292,2
292,3
293,2
293,3
295,2
295,3
296,2
296,3
297,2
297,3
298,2
298,3
299,2
299,3
300,2
300,3
301,2
301,3
304,2
304,3
314,2
314,3
325,2
325,3
328,2
328,3
329,2
329,3
333,2
333,3
335,2
335,3
339,2
339,3
343,2
343,3
349,2
349,3
351,2
351,3
356,2
356,3
357,2
357,3
358,2
358,3
362,2
362,3
363,2
363,3
368,2
368,3
369,2
369,3
372,2
372,3
383,2
383,3
391,2
391,3
392,2
392,3
402,2
402,3
405,2
405,3
407,2
407,3
430,2
430,3
440,2
440,3
441,2
441,3
450,2
450,3
457,2
457,3
463,2
463,3
468,2
468,3
476,2
476,3
481,2
481,3
483,2
483,3
486,2
486,3
488,2
488,3
498,2
498,3
506,2
506,3
511,2
511,3
518,2
518,3
519,2
519,3
520,2
520,3
526,2
526,3
540,2
540,3
546,2
546,3
557,2
557,3
575,2
575,3
578,2
578,3
595,2
595,3
600,2
600,3
654,2
654,3
657,2
657,3
658,2
658,3
661,2
661,3
662,2
662,3
675,2
675,3
676,2
676,3
677,2
677,3
686,2
686,3
687,2
687,3
690,2
690,3
692,2
692,3
703,2
703,3
707,2
707,3
708,2
708,3
710,2
710,3
712,2
712,3
724,2
724,3
725,2
725,3
726,2
726,3
727,2
727,3
732,2
732,3
734,2
734,3
736,2
736,3
737,2
737,3
742,2
742,3
746,2
746,3
753,2
753,3
754,2
754,3
757,2
757,3
761,2
761,3
770,2
770,3
771,2
771,3
777,2
777,3
779,2
779,3
803,2
803,3
808,2
808,3
809,2
809,3
819,2
819,3
822,2
822,3
823,2
823,3
824,2
824,3
825,2
825,3
826,2
826,3
827,2
827,3
828,2
828,3
829,2
829,3
839,2
839,3
840,2
840,3
841,2
841,3
852,2
852,3
856,2
856,3
857,2
857,3
872,2
872,3
918,2
918,3
919,2
919,3
920,2
920,3
921,2
921,3
922,2
922,3
923,2
923,3
924,2
924,3
925,2
925,3
926,2
926,3
927,2
927,3
928,2
928,3
929,2
929,3
930,2
930,3
931,2
931,3
932,2
932,3
934,2
934,3
935,2
935,3
936,3
937,2
937,3
938,2
938,3
939,2
939,3
940,2
940,3
942,2
942,3
943,2
943,3
945,2
945,3
946,2
946,3
948,2
948,3
949,2
949,3
950,2
950,3
951,2
951,3
952,2
952,3
953,2
953,3
954,2
954,3
955,2
955,3
956,2
956,3
957,2
957,3
958,2
958,3
959,2
959,3
960,2
960,3
961,2
961,3
962,2
962,3
963,2
963,3
964,2
964,3
965,2
965,3
966,2
966,3
967,2
967,3
968,2
968,3
969,2
969,3
970,2
970,3
971,2
971,3
972,2
972,3
973,2
973,3
974,2
974,3
975,2
975,3
976,2
976,3
977,2
977,3
978,2
978,3
979,2
979,3
980,2
980,3
981,2
981,3
982,2
982,3
983,2
983,3
984,2
984,3
985,2
985,3
986,2
986,3
987,2
987,3
